unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-5135,1.0,1,No,1.0,2003,2018
ESCINFO,ESCINFO-5734,1.0,1,NC,1.0,2003,2018
ESCINFO,ESCINFO-5697,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5622,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5487,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5336,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5654,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-5111,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5802,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5235,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5357,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5402,1.0,1,NC,1.0,2002,2018
ESCINFO,ESCINFO-5122,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5113,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5179,1.0,1,NC,2.0,2002,2019
ESCINFO,ESCINFO-4460,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5606,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5555,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5214,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5762,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5631,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5598,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5700,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5564,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5561,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5359,1.0,2,NC,2.0,2002,2019
ESCINFO,ESCINFO-5267,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5251,1.0,1,NC,2.0,2003,2019
ESCINFO,ESCINFO-5592,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5516,1.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-5388,1.0,2,NC,1.0,2001,2018
ESCINFO,ESCINFO-5293,1.0,2,NC,2.0,2003,2019
ESCINFO,ESCINFO-5694,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5230,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5147,1.0,2,NC,1.0,2004,2020
ESCINFO,ESCINFO-5335,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5455,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5483,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5279,1.0,2,NC,1.0,2003,2018
ESCINFO,ESCINFO-5805,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-2920,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-1024,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5724,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5188,1.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-5137,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5198,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5107,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5807,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5746,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5733,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5808,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5129,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5284,1.0,2,NC,2.0,2004,2020
ESCINFO,ESCINFO-5363,2.0,2,NC,1.0,2003,2018
ESCINFO,ESCINFO-5433,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5531,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-3536,1.0,2,NC,-1.0,2003,2016
ESCINFO,ESCINFO-1751,1.0,2,NC,-1.0,2003,2017
ESCINFO,ESCINFO-758,1.0,2,NC,2.0,2000,2016
ESCINFO,ESCINFO-4512,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-4,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-4889,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5814,1.0,1,NC,1.0,2001,2019
ESCINFO,ESCINFO-4470,1.0,2,NC,1.0,2002,2017
ESCINFO,ESCINFO-4865,1.0,1,NC,-1.0,2000,2013
ESCINFO,ESCINFO-3260,1.0,1,NC,-1.0,2001,2017
ESCINFO,ESCINFO-600,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5686,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-309,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5773,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5342,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5504,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-5250,1.0,2,NC,1.0,2002,2019
ESCINFO,ESCINFO-5155,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5232,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5148,1.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-5478,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5713,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5317,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5458,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5321,2.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5418,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5153,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-5469,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5162,1.0,2,NC,1.0,2003,2018
ESCINFO,ESCINFO-5572,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5215,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5638,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5241,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5169,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5355,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-1382,1.0,2,NC,-1.0,2001,2013
ESCINFO,ESCINFO-1767,1.0,1,NC,-1.0,2002,2015
ESCINFO,ESCINFO-731,1.0,2,NC,-1.0,2003,2017
ESCINFO,ESCINFO-604,1.0,1,NC,-1.0,2002,2016
ESCINFO,ESCINFO-888,1.0,1,NC,2.0,2002,2016
ESCINFO,ESCINFO-1434,1.0,1,NC,1.0,2001,2015
ESCINFO,ESCINFO-3657,1.0,1,NC,1.0,2003,2016
